country,internet_usage
Afghanistan,6.186940214
Albania,40.73472275
Algeria,25.48805696
Andorra,67.84957619
Angola,13.28334365
Antigua and Barbuda,51.12724435
Argentina,49.16593708
Armenia,34.73623565
Aruba,52.02758333
Australia,78.578515
Austria,72.48909583
Azerbaijan,49.35217205
"Bahamas, The",54.12189565
Bahrain,64.81420958
Bangladesh,12.94665493
Barbados,59.00337304
Belarus,50.27058048
Belgium,73.21275
Belize,34.83661381
Benin,8.929146913
Bermuda,76.99391111
Bhutan,28.71513448
Bolivia,27.70287304
Bosnia and Herzegovina,42.92507083
Botswana,26.10015391
Brazil,45.84089625
British Virgin Islands,46.04162857
Brunei Darussalam,58.39740348
Bulgaria,45.40985083
Burkina Faso,5.135817487
Burundi,2.508327235
Cabo Verde,31.86080304
Cambodia,14.66134262
Cameroon,13.69770135
Canada,79.85805652
Cayman Islands,65.21292308
Central African Republic,2.634003713
Chad,3.4077904
Chile,55.69948333
China,37.28911333
Colombia,38.30748435
Comoros,6.450481257
"Congo, Dem. Rep.",5.873706244
"Congo, Rep.",7.875513443
Costa Rica,46.81893042
Cote d'Ivoire,15.13481439
Croatia,54.0624825
Cuba,29.09035796
Curacao,64.99135
Cyprus,58.10030833
Czechia,61.19949292
Denmark,86.21154583
Djibouti,21.01927422
Dominica,48.48122
Dominican Republic,40.12559783
Ecuador,34.38778167
"Egypt, Arab Rep.",29.64764787
El Salvador,22.22912609
Equatorial Guinea,17.24888941
Eritrea,5.405050895
Estonia,72.32042083
Eswatini,20.56087139
Ethiopia,6.443222978
Faroe Islands,73.90882778
Fiji,34.38578391
Finland,80.85715833
France,66.35572917
French Polynesia,37.81049833
Gabon,28.62847435
"Gambia, The",16.26952935
Georgia,35.67032708
Germany,75.70839167
Ghana,19.06624552
Gibraltar,48.12107143
Greece,49.97516417
Greenland,58.65360556
Grenada,37.58526565
Guam,50.48812778
Guatemala,20.62458839
Guinea,8.838097387
Guinea-Bissau,8.329105739
Guyana,30.31257391
Haiti,13.86507829
Honduras,20.23480174
"Hong Kong SAR, China",71.0067913
Hungary,60.0454575
Iceland,89.6750087
India,10.5767599
Indonesia,21.99268767
"Iran, Islamic Rep.",32.24747
Iraq,18.29407018
Ireland,66.04358261
Israel,58.95298261
Italy,52.83359167
Jamaica,36.08952174
Japan,74.73218696
Jordan,38.30659739
Kazakhstan,44.39704017
Kenya,12.44929313
Kiribati,17.0998213
"Korea, Dem. People's Rep.",0
"Korea, Rep.",82.26692083
Kosovo,86.6683
Kuwait,61.17070375
Kyrgyz Republic,28.88579
Lao PDR,17.34962609
Latvia,63.52516292
Lebanon,47.60791565
Lesotho,16.96241765
Liberia,9.000670729
Libya,21.09374978
Liechtenstein,78.14341364
Lithuania,58.24585125
Luxembourg,81.33774583
"Macao SAR, China",58.30636522
Madagascar,4.77217987
Malawi,6.7599295
Malaysia,62.7463
Maldives,38.01546
Mali,8.82512013
Malta,61.04905833
Marshall Islands,18.96818286
Mauritania,13.60886613
Mauritius,35.87462783
Mexico,39.8191
"Micronesia, Fed. Sts.",22.74704304
Moldova,35.27004957
Monaco,74.87355909
Mongolia,26.58959263
Montenegro,54.55869474
Morocco,43.68008483
Mozambique,6.068998522
Myanmar,11.00660457
Namibia,20.50271783
Nauru,63.11068
Nepal,13.92792257
Netherlands,83.7140125
New Caledonia,42.51205882
New Zealand,76.99113478
Nicaragua,18.49188852
Niger,3.994648059
Nigeria,15.0678374
North Macedonia,51.37438043
Norway,88.67622083
Oman,49.15381042
Pakistan,10.85322682
Palau,22.93856667
Panama,38.67012609
Papua New Guinea,7.189277409
Paraguay,34.42928963
Peru,35.71830174
Philippines,26.1161987
Poland,57.20959583
Portugal,54.6716
Puerto Rico,48.66584091
Qatar,61.64166304
Romania,44.66169542
Russian Federation,50.53053458
Rwanda,10.51862916
Samoa,23.03252361
San Marino,58.2764125
Sao Tome and Principe,24.24820913
Saudi Arabia,52.53995542
Senegal,18.441917
Serbia,55.624365
Seychelles,46.13950136
Sierra Leone,7.367283217
Singapore,72.77255417
Slovak Republic,67.084925
Slovenia,63.35577083
Solomon Islands,11.59513087
Somalia,4.05662206
South Africa,34.13269435
South Sudan,5.795434
Spain,64.98744167
Sri Lanka,16.33532424
St. Kitts and Nevis,51.23476696
St. Lucia,42.28906696
St. Vincent and the Grenadines,36.37743304
Sudan,12.70456586
Suriname,32.63093826
Sweden,86.1179625
Switzerland,80.81519167
Syrian Arab Republic,18.43658467
Tajikistan,12.20844787
Tanzania,8.431839826
Thailand,36.14309375
Timor-Leste,13.11948247
Togo,8.837717391
Tonga,25.22972641
Trinidad and Tobago,49.54551348
Tunisia,36.05065913
Turkiye,43.99654042
Turkmenistan,5.580386
Tuvalu,24.31635429
Uganda,4.050542231
Ukraine,30.74318291
United Arab Emirates,70.86428333
United Kingdom,78.61817826
United States,74.37426957
Uruguay,49.14953478
Uzbekistan,31.24033438
Vanuatu,20.76815609
"Venezuela, RB",30.78546
Viet Nam,37.24445783
Virgin Islands (U.S.),35.15715
West Bank and Gaza,41.53963208
"Yemen, Rep.",11.207956
Zambia,7.88549287
Zimbabwe,12.88429478
